,% Inhibitor,% Promoter,Total Sentences Found
psa,0.8400153383180233,0.15998466100635206,14
tlr,0.7463249154388905,0.2536750996951014,6
hme,0.34367514612639694,0.6563248545420042,1091
phema,0.22781423563396352,0.772185785902871,9
npn-1,0.8410464089247398,0.15895359646211463,11
chat,0.28361779157981243,0.7163822238261883,13
tgf-1,0.0004702256846940145,0.9995298186937968,3
civ,0.09482885314289226,0.9051711508496241,11
c-myc,0.7063655489353493,0.2936344460234515,63
saps,0.48617960411744815,0.5138203975899766,9
irf5,0.6124726377660409,0.3875273476238362,10
myti,0.4998614352371078,0.5001385633077007,2
lama2,0.0007182611152529716,0.9992817044258118,1
sreb,0.9992469549179077,0.0007531271548941731,1
ascl1,0.47271890195238836,0.5272810827468325,13
ccc,0.20306241694488564,0.7969375856220722,5
aqp,0.58119437875908,0.41880561811932626,35
cpt-camp,0.5548352994519519,0.44516468633082695,4
pkg,0.30388866636591655,0.6961113562186559,3
plla,0.33130080594370764,0.6686992198228836,3
c3,0.7393490389931818,0.26065096109577607,137
sod,0.6384055152535438,0.3615945012890734,5
rho gdi,0.999563992023468,0.000436003232607618,1
c/ebp-β,0.49037089763442054,0.5096291191875935,4
cs-gag,0.574039309327158,0.42596070209193776,7
sema 3a,0.9993499219417572,0.0006500834278995171,2
acs,0.8199263996729214,0.18007361751289055,9
nf-kb,0.4679937070268352,0.5320062878974567,40
psa-ncam,0.89834834669124,0.10165166116679426,11
pak1,0.004306615795940161,0.9956933856010437,1
bmp-7,0.9297892451286316,0.0702107846736908,2
erk1/2,0.5634847543821836,0.4365152579417294,28
crem,0.7822787165641785,0.21772131323814392,1
mtor,0.6086767407498989,0.3913232562071265,215
fgfs,0.0005055767224720595,0.9994944388216193,11
ampa,0.6341346339046906,0.3658653603304533,19
tbst,0.12631358621625363,0.8736864062292236,7
pvdf,0.0009060723154107108,0.9990939378738404,10
irs-1,0.9956225156784058,0.0043774865043815225,2
igf-1,0.0663605956180336,0.9336394030522083,71
cre+wt/wt,0.02372925728559494,0.9762707352638245,1
am-6,0.0005871843895874918,0.9994127750396729,1
tgfa,0.00036113496753387153,0.9996387958526611,1
bcan,0.6578743095548513,0.3421257004471651,3
vla-4,0.9968625605106354,0.0031374441750813276,2
blys,0.9997926354408264,0.00020738063903991133,1
ulip,0.9800207614898682,0.019979240372776985,1
syncams,0.7470227650628658,0.2529772480993415,4
pan/ pvc,0.09945912152761593,0.9005408883094788,4
nrdg1,0.9991372227668762,0.0008627523784525692,1
pdgf-bb,0.00023502262774854898,0.9997649788856506,1
magr,0.9919741004705429,0.008025916271435563,4
wga-hrp,0.4188786016685689,0.5811214154278527,7
o4,0.4702845187615215,0.5297154839014789,12
page,0.15022754389961399,0.8497724529746065,207
crmp2,0.9888692564434476,0.011130718472284369,9
tnfbp,0.9945476055145264,0.005452368408441544,1
hmg-1,0.9865438143412272,0.013456191557149092,3
cre,0.4564556200011315,0.5435443796006055,38
dmso,0.2756026037786796,0.7243973977753988,44
ifn-γ,0.0004579189117066562,0.9995420972506205,3
co,0.2764166581648708,0.7235833426133872,108
tgf-(1,0.00593695929273963,0.9940630793571472,1
il-1,0.5821446096512954,0.41785539567586966,50
tmrd,0.003066932831037169,0.9969330728054047,6
tlr-4,0.8957166811916977,0.10428331917210017,10
sybi,0.1363368993916083,0.8636630972226461,3
gdf11,0.0009076704154722393,0.9990923702716827,2
ttn,0.699515163898468,0.3004848062992096,1
crmp-2,0.7599405761087837,0.24005942524127022,40
a,0.5005723131471314,0.4994277062796755,2
igfs,0.21346664056181908,0.7865333557128906,3
p-tubulin,0.9998237490653992,0.00017623421445023268,1
hb-egf,0.14978528795089865,0.8502147183998635,19
npc,0.4147067018202506,0.585293289666879,4
krx-20,0.0004956790362484753,0.9995043277740479,1
atl,0.8506073703074435,0.1493926324938002,32
gsk-3β,0.9976372397862948,0.0023627490658187666,13
stat6,0.5361071758767745,0.46389282689779066,12
mfps,0.0005667597870342433,0.9994332194328308,1
y27632,0.9995815753936768,0.0004184343997621909,2
plg,0.07980974381734995,0.9201902569002414,16
lane 14,0.04655273258686066,0.9534472227096558,1
pfn,0.0011030518217012286,0.9988969564437866,1
igf,0.08496266486084399,0.9150373538335165,3
gsk3,0.5665071540339947,0.4334928534062783,24
ppars,0.9561329285303751,0.0438670800649561,6
tsc1/2,0.9980741739273071,0.0019257949898019433,1
eph,0.7616794051518041,0.2383205902215067,71
